method,accuracy,macro_f1,macro_roc_auc_ovr,runtime_seconds,iterations,nonzero_coefficients,total_coefficients,zero_coefficients_percent,mean_sensitivity,mean_specificity
Forward-Backward Splitting,0.9294197488971836,0.9281986226434674,0.9948543889792268,12.106893048000074,1000,189,3366,94.38502673796792,0.9270433421404118,0.9858295955967767
Subgradient Descent,0.8781812012215813,0.8716971426679541,0.9924070278188292,11.631720249999944,1000,3366,3366,0.0,0.8727774257312793,0.9754227193063129
